ID,age,sex,uwGzpctStr,wtGzpctStr,uwPTpctStr,wtPTpctStr,uwGPpctStr,wtGPpctStr,uwAllpctStr,wtAllpctStr,uwFrpctStr,wtFrpctStr,uwSidepctStr,wtSidepctStr,uwBackpctStr,wtBackpctStr
17,5,Female,0.166666667,0.1672,0.166666667,0.1672,0,0,0.111111111,0.1096,0.333333333,0.3336,0,0,0,0
21,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,Female,0.166666667,0.1664,0.166666667,0.1672,0,0,0.111111111,0.1104,0.166666667,0.1648,0.166666667,0.1688,0,0
25,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,5,Male,0,0,0.166666667,0.1672,0.166666667,0.1672,0.111111111,0.112,0.333333333,0.3312,0,0,0,0
27,5,Male,0,0,0.166666667,0.1672,0,0,0.055555556,0.0544,0.166666667,0.1648,0,0,0,0
28,5,Female,0.166666667,0.1664,0,0,0.333333333,0.3336,0.166666667,0.1688,0.166666667,0.1664,0.333333333,0.3352,0,0
30,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5,Female,0,0,0,0,0.166666667,0.1672,0.055555556,0.0576,0.166666667,0.1664,0,0,0,0
35,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,Male,0,0,0.166666667,0.1672,0.166666667,0.1672,0.111111111,0.112,0.333333333,0.3312,0,0,0,0
37,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,5,Female,0.166666667,0.1672,0,0,0,0,0.055555556,0.0552,0.166666667,0.1688,0,0,0,0
41,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,Male,0,0,0,0,0.166666667,0.1672,0.055555556,0.0576,0.166666667,0.1664,0,0,0,0
44,5,Female,0.166666667,0.1672,0,0,0.166666667,0.1672,0.111111111,0.1128,0.333333333,0.3352,0,0,0,0
45,5,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,Male,0,0,0.166666667,0.1664,0,0,0.055555556,0.0552,0,0,0.166666667,0.1648,0,0
48,5,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,Female,0.166666667,0.164201183,0,0,0.5,0.5,0.222222222,0.222633136,0.333333333,0.333579882,0.333333333,0.331360947,0,0
4,6,Female,0,0,0.166666667,0.164201183,0.166666667,0.164201183,0.111111111,0.107988166,0.333333333,0.332100592,0,0,0,0
5,6,Female,0,0,0.166666667,0.164201183,0,0,0.0625,0.055473373,0.25,0.166420118,0,0,0,0
6,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Male,0,0,0.25,0.164201183,0.375,0.251849112,0.222222222,0.140902367,0.166666667,0.166420118,0.428571429,0.24852071,0,0
8,6,Male,0,0,0,0,0.2,0.328402367,0.058823529,0.105029586,0.2,0.331360947,0,0,0,0
9,6,Male,0.166666667,0.164201183,0.333333333,0.440335306,0.166666667,0.164201183,0.222222222,0.257149901,0.6,0.666420118,0,0,0.142857143,0.110946746
10,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6,Male,0,0,0.166666667,0.164201183,0,0,0.052631579,0.055473373,0.166666667,0.166420118,0,0,0,0
14,6,Male,0.166666667,0.167899408,0.333333333,0.332100592,0.333333333,0.328402367,0.277777778,0.271449704,0.5,0.497781065,0.333333333,0.334319527,0,0
15,6,Female,0,0,0.142857143,0.164201183,0.2,0.164201183,0.111111111,0.107988166,0.333333333,0.332100592,0,0,0,0
16,6,Male,0.5,0.5,0.166666667,0.164201183,0.333333333,0.328402367,0.333333333,0.328402367,0.666666667,0.665680473,0.166666667,0.167899408,0.166666667,0.167899408
17,6,Female,0,0,0.166666667,0.164201183,0.333333333,0.328402367,0.166666667,0.160502959,0.5,0.497781065,0,0,0,0
19,6,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,Female,0,0,0.166666667,0.164201183,0,0,0.055555556,0.055473373,0.166666667,0.166420118,0,0,0,0
21,6,Male,0,0,0,0,0.142857143,0.164201183,0.055555556,0.052514793,0.166666667,0.165680473,0,0,0,0
22,6,Female,0,0,0.333333333,0.332100592,0.333333333,0.328402367,0.222222222,0.215236686,0.5,0.497781065,0.166666667,0.166420118,0,0
23,6,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,Male,0.166666667,0.167899408,0.166666667,0.164201183,0.333333333,0.332100592,0.222222222,0.221153846,0.333333333,0.332100592,0.333333333,0.333579882,0,0
27,6,Male,0,0,0,0,0.166666667,0.164201183,0.055555556,0.052514793,0.166666667,0.165680473,0,0,0,0
28,6,Female,0.166666667,0.167899408,0.166666667,0.164201183,0.5,0.496301775,0.277777778,0.273668639,0.5,0.497781065,0.333333333,0.333579882,0,0
29,6,Male,0.2,0.167899408,0,0,0.285714286,0.218934911,0.166666667,0.126232742,0.333333333,0.220907298,0.166666667,0.167899408,0,0
30,6,Male,0,0,0.2,0.164201183,0,0,0.058823529,0.055473373,0.166666667,0.166420118,0,0,0,0
31,6,Male,0,0,0.166666667,0.164201183,0,0,0.055555556,0.055473373,0.166666667,0.166420118,0,0,0,0
35,6,Female,0,0,0.166666667,0.164201183,0.166666667,0.164201183,0.111111111,0.107988166,0.333333333,0.332100592,0,0,0,0
36,6,Male,0.166666667,0.164201183,0.166666667,0.167899408,0,0,0.111111111,0.110946746,0.166666667,0.167899408,0.166666667,0.166420118,0,0
37,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,Female,0.166666667,0.167899408,0,0,0,0,0.055555556,0.056213018,0,0,0.166666667,0.167899408,0,0
40,6,Female,0,0,0.333333333,0.328402367,0,0,0.111111111,0.110946746,0.333333333,0.332840237,0,0,0,0
41,6,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,Female,0,0,0.166666667,0.164201183,0,0,0.055555556,0.055473373,0.166666667,0.166420118,0,0,0,0
45,6,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6,Male,0.166666667,0.164201183,0.166666667,0.167899408,0.166666667,0.164201183,0.166666667,0.163461538,0.333333333,0.333579882,0.166666667,0.166420118,0,0
48,6,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,Female,0.166666667,0.165007112,0,0,0.3,0.331910858,0.222222222,0.168800379,0.333333333,0.229492651,0.333333333,0.281175913,0,0
2,7,Male,0,0,0,0,0.166666667,0.165007112,0.055555556,0.056187767,0,0,0.166666667,0.172119488,0,0
3,7,Male,0,0,0.2,0.166429587,0.5,0.497866287,0.222222222,0.224039829,0.428571429,0.5056899,0.2,0.172119488,0,0
4,7,Female,0,0,0.166666667,0.165007112,0.333333333,0.3314367,0.166666667,0.166429587,0.166666667,0.172119488,0.333333333,0.333570413,0,0
5,7,Female,0,0,0.333333333,0.333570413,0.333333333,0.3314367,0.222222222,0.220483642,0.166666667,0.172119488,0.333333333,0.333570413,0.166666667,0.161450925
6,7,Male,0,0,0.166666667,0.166429587,0,0,0.055555556,0.054054054,0.166666667,0.161450925,0,0,0,0
7,7,Male,0.166666667,0.166429587,0.571428571,0.6628734,0.333333333,0.332859175,0.368421053,0.384068279,0.833333333,0.833570413,0.333333333,0.322901849,0,0
8,7,Male,0,0,0,0,0.333333333,0.3314367,0.111111111,0.113086771,0.166666667,0.172119488,0.166666667,0.172119488,0,0
9,7,Male,0,0,0.166666667,0.165007112,0,0,0.055555556,0.053342817,0,0,0.166666667,0.161450925,0,0
10,7,Male,0,0,0.5,0.497866287,0.166666667,0.166429587,0.222222222,0.218349929,0.5,0.495021337,0.166666667,0.161450925,0,0
11,7,Female,0,0,0.333333333,0.3314367,0.333333333,0.332859175,0.222222222,0.221194879,0.5,0.5056899,0.166666667,0.161450925,0,0
12,7,Male,0.285714286,0.332859175,0.5,0.497866287,0.166666667,0.166429587,0.315789474,0.329302987,0.833333333,0.827880512,0.166666667,0.161450925,0,0
13,7,Male,0.166666667,0.165007112,0.166666667,0.166429587,0.166666667,0.165007112,0.166666667,0.16571835,0.166666667,0.161450925,0.333333333,0.338549075,0,0
14,7,Male,0.166666667,0.166429587,0,0,0.166666667,0.166429587,0.111111111,0.112375533,0.333333333,0.338549075,0,0,0,0
15,7,Female,0,0,0.333333333,0.3314367,0,0,0.111111111,0.107396871,0.166666667,0.161450925,0.166666667,0.161450925,0,0
16,7,Male,0.142857143,0.166429587,0.166666667,0.166429587,0.428571429,0.497866287,0.25,0.279516358,0.666666667,0.672119488,0.166666667,0.172119488,0,0
19,7,Female,0,0,0.142857143,0.166429587,0,0,0.055555556,0.054054054,0.166666667,0.161450925,0,0,0,0
20,7,Female,0,0,0.2,0.166429587,0.142857143,0.166429587,0.111111111,0.110953058,0.333333333,0.333570413,0,0,0,0
21,7,Male,0,0,0,0,0.166666667,0.166429587,0.066666667,0.056899004,0.25,0.172119488,0,0,0,0
22,7,Female,0.166666667,0.165007112,0.333333333,0.332859175,0,0,0.166666667,0.163584637,0.333333333,0.322901849,0.166666667,0.166429587,0,0
23,7,Female,0.166666667,0.166429587,0,0,0.333333333,0.3314367,0.166666667,0.1685633,0.333333333,0.338549075,0.166666667,0.172119488,0,0
24,7,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,Male,0.333333333,0.3314367,0.166666667,0.166429587,0,0,0.166666667,0.165007112,0.333333333,0.327880512,0.166666667,0.166429587,0,0
27,7,Male,0.166666667,0.166429587,0.166666667,0.166429587,0.5,0.497866287,0.277777778,0.279516358,0.666666667,0.672119488,0.166666667,0.172119488,0,0
28,7,Female,0.333333333,0.332859175,0.333333333,0.332859175,0.333333333,0.332859175,0.333333333,0.332859175,1,1,0,0,0,0
29,7,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,Male,0.166666667,0.165007112,0,0,0,0,0.055555556,0.055476529,0,0,0.166666667,0.166429587,0,0
31,7,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,7,Female,0.166666667,0.165007112,0,0,0.285714286,0.221906117,0.166666667,0.131341868,0.333333333,0.229492651,0.166666667,0.166429587,0,0
36,7,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,7,Male,0.333333333,0.332859175,0.166666667,0.166429587,0.333333333,0.332859175,0.277777778,0.278805121,0.833333333,0.838549075,0,0,0,0
38,7,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7,Female,0.166666667,0.165007112,0.166666667,0.165007112,0.333333333,0.332859175,0.222222222,0.222617354,0.333333333,0.344238976,0.333333333,0.327880512,0,0
40,7,Female,0,0,0.4,0.332859175,0.142857143,0.166429587,0.166666667,0.165007112,0.5,0.495021337,0,0,0,0
43,7,Male,0,0,0.166666667,0.166429587,0,0,0.055555556,0.054054054,0.166666667,0.161450925,0,0,0,0
44,7,Female,0.166666667,0.166429587,0,0,0.166666667,0.165007112,0.111111111,0.111664296,0.166666667,0.166429587,0.166666667,0.172119488,0,0
45,7,Female,0.333333333,0.332859175,0.166666667,0.166429587,0.333333333,0.332859175,0.277777778,0.278805121,0.833333333,0.838549075,0,0,0,0
47,7,Male,0.166666667,0.165007112,0.166666667,0.110953058,0.333333333,0.332859175,0.222222222,0.205310574,0.428571429,0.451872926,0.2,0.166429587,0,0
1,8,Female,0.166666667,0.165789474,0.2,0.329824561,0.428571429,0.329824561,0.277777778,0.273684211,0.666666667,0.670175439,0.166666667,0.164912281,0,0
3,8,Male,0,0,0.25,0.329824561,0.375,0.329824561,0.222222222,0.219298246,0.666666667,0.670175439,0,0,0,0
4,8,Female,0.5,0.495614035,0.2,0.329824561,0.428571429,0.385672515,0.388888889,0.383918129,0.833333333,0.869590643,0.333333333,0.360526316,0,0
5,8,Female,0,0,0,0,0.125,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
8,8,Male,0,0,0.2,0.329824561,0.166666667,0.10994152,0.117647059,0.108187135,0.333333333,0.409356725,0,0,0,0
9,8,Male,0,0,0,0,0.166666667,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
11,8,Female,0.333333333,0.330701754,0.4,0.495614035,0.428571429,0.329824561,0.388888889,0.385087719,0.833333333,0.835087719,0.333333333,0.304385965,0,0
12,8,Male,0.5,0.495614035,0,0,0.428571429,0.329824561,0.352941176,0.331578947,1,0.721052632,0.166666667,0.164912281,0,0
13,8,Male,0.166666667,0.164912281,0.2,0.329824561,0.285714286,0.219883041,0.222222222,0.219005848,0.666666667,0.704678363,0,0,0,0
15,8,Female,0,0,0.2,0.165789474,0,0,0.055555556,0.056140351,0,0,0.2,0.139473684,0,0
19,8,Female,0,0,0,0,0.142857143,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
20,8,Female,0.166666667,0.164912281,0.2,0.164912281,0.333333333,0.330701754,0.235294118,0.220175439,0.5,0.5,0.2,0.195614035,0,0
21,8,Male,0.166666667,0.165789474,0.2,0.329824561,0.428571429,0.329824561,0.277777778,0.273684211,0.666666667,0.670175439,0.166666667,0.164912281,0,0
22,8,Female,0,0,0.2,0.329824561,0.142857143,0.10994152,0.111111111,0.108187135,0.333333333,0.409356725,0,0,0,0
23,8,Female,0.166666667,0.164912281,0,0,0.142857143,0.10994152,0.111111111,0.110818713,0.333333333,0.295321637,0,0,0,0
25,8,Female,0.166666667,0.164912281,0.2,0.165789474,0.142857143,0.10994152,0.166666667,0.166959064,0.333333333,0.295321637,0.166666667,0.139473684,0,0
27,8,Male,0.166666667,0.165789474,0,0,0.142857143,0.10994152,0.111111111,0.10994152,0.166666667,0.130409357,0.166666667,0.164912281,0,0
28,8,Female,0.333333333,0.329824561,0.4,0.495614035,0.285714286,0.275730994,0.333333333,0.330116959,0.666666667,0.739181287,0.333333333,0.335087719,0,0
29,8,Male,0,0,0.4,0.221052632,0.571428571,0.329824561,0.333333333,0.241520468,0.666666667,0.39122807,0.333333333,0.185964912,0,0
30,8,Male,0.166666667,0.164912281,0.2,0.329824561,0.428571429,0.329824561,0.277777778,0.274561404,0.833333333,0.835087719,0,0,0,0
31,8,Male,0,0,0.25,0.329824561,0.125,0.10994152,0.111111111,0.108187135,0.333333333,0.409356725,0,0,0,0
32,8,Female,0,0,0,0,0.142857143,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
35,8,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8,Male,0,0,0,0,0.142857143,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
37,8,Male,0,0,0,0,0.166666667,0.164912281,0.058823529,0.083333333,0.2,0.195614035,0,0,0,0
39,8,Female,0,0,0,0,0.571428571,0.495614035,0.222222222,0.221929825,0.5,0.39122807,0.166666667,0.195614035,0,0
40,8,Female,0,0,0,0,0.166666667,0.10994152,0.058823529,0.055555556,0.166666667,0.130409357,0,0,0,0
41,8,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,8,Male,0,0,0,0,0.142857143,0.10994152,0.055555556,0.055555556,0.166666667,0.130409357,0,0,0,0
44,8,Female,0.2,0.164912281,0,0,0.285714286,0.275730994,0.166666667,0.166081871,0.333333333,0.295321637,0.166666667,0.195614035,0,0
45,8,Female,0.2,0.329824561,0,0,0.714285714,0.661403509,0.352941176,0.387719298,0.8,0.721052632,0.333333333,0.39122807,0,0
48,8,Male,0,0,0.2,0.165789474,0.428571429,0.329824561,0.222222222,0.222807018,0.5,0.39122807,0.166666667,0.139473684,0,0
1,9,Female,0.5,0.5,0.333333333,0.332554517,0.5,0.5,0.444444444,0.44470405,0.5,0.5,0.5,0.5,0.333333333,0.331775701
2,9,Male,0,0,0.428571429,0.412383178,0,0,0.166666667,0.136682243,0.333333333,0.336448598,0,0,0.142857143,0.08411215
3,9,Male,0,0,0.166666667,0.164330218,0.5,0.496105919,0.222222222,0.221183801,0.5,0.496884735,0,0,0.166666667,0.164330218
4,9,Female,0.4,0.496884735,0.333333333,0.328660436,0.5,0.496884735,0.411764706,0.43847352,1,1,0.333333333,0.331775701,0,0
5,9,Female,0.2,0.328660436,0.166666667,0.164330218,0.142857143,0.164330218,0.166666667,0.218847352,0.6,0.667445483,0,0,0,0
6,9,Male,0.166666667,0.164330218,0,0,0.166666667,0.164330218,0.111111111,0.109813084,0.333333333,0.331775701,0,0,0,0
7,9,Male,0.333333333,0.332554517,0.333333333,0.328660436,0.4,0.328660436,0.352941176,0.330996885,0.833333333,0.832554517,0.166666667,0.167445483,0,0
8,9,Male,0.333333333,0.328660436,0.166666667,0.164330218,0.166666667,0.164330218,0.222222222,0.218847352,0.666666667,0.667445483,0,0,0,0
9,9,Male,0,0,0.166666667,0.164330218,0.5,0.496884735,0.222222222,0.218068536,0.5,0.496884735,0.166666667,0.164330218,0,0
10,9,Male,0.166666667,0.164330218,0.166666667,0.164330218,0.333333333,0.279854621,0.222222222,0.199376947,0.4,0.335669782,0.166666667,0.164330218,0.142857143,0.109553479
11,9,Female,0.333333333,0.328660436,0.166666667,0.164330218,0.333333333,0.331775701,0.277777778,0.274922118,0.666666667,0.667445483,0,0,0.166666667,0.164330218
12,9,Male,0.333333333,0.332554517,0.285714286,0.328660436,0.4,0.328660436,0.333333333,0.330996885,0.833333333,0.832554517,0.166666667,0.167445483,0,0
13,9,Male,0.333333333,0.332554517,0.25,0.328660436,0.5,0.328660436,0.333333333,0.330996885,0.833333333,0.832554517,0.142857143,0.167445483,0,0
14,9,Male,0,0,0.166666667,0.164330218,0.166666667,0.168224299,0.111111111,0.107476636,0.166666667,0.168224299,0.166666667,0.164330218,0,0
15,9,Female,0.5,0.496884735,0.333333333,0.332554517,0.5,0.496884735,0.444444444,0.442367601,0.833333333,0.831775701,0.5,0.5,0,0
20,9,Female,0.333333333,0.328660436,0.166666667,0.167445483,0.166666667,0.168224299,0.222222222,0.21728972,0.333333333,0.334890966,0.166666667,0.164330218,0.166666667,0.168224299
21,9,Male,0.166666667,0.164330218,0.166666667,0.168224299,0.166666667,0.164330218,0.166666667,0.168224299,0.333333333,0.331775701,0.166666667,0.168224299,0,0
22,9,Female,0.166666667,0.164330218,0.5,0.496884735,0.333333333,0.332554517,0.333333333,0.330218069,0.666666667,0.668224299,0.333333333,0.332554517,0,0
24,9,Female,0,0,0.333333333,0.328660436,0.166666667,0.164330218,0.166666667,0.164330218,0.5,0.500778816,0,0,0,0
25,9,Female,0.166666667,0.164330218,0.25,0.328660436,0.25,0.219106957,0.222222222,0.237279335,0.666666667,0.723001038,0,0,0,0
26,9,Male,0.333333333,0.328660436,0.333333333,0.328660436,0.333333333,0.328660436,0.333333333,0.328660436,1,1,0,0,0,0
27,9,Male,0.5,0.496884735,0.333333333,0.328660436,0.5,0.496884735,0.444444444,0.43847352,1,1,0.333333333,0.331775701,0,0
28,9,Female,0,0,0.333333333,0.328660436,0.333333333,0.328660436,0.222222222,0.219626168,0.666666667,0.665109034,0,0,0,0
29,9,Male,0.166666667,0.164330218,0.333333333,0.328660436,0.2,0.328660436,0.235294118,0.274143302,0.8,0.832554517,0,0,0,0
30,9,Male,0.166666667,0.164330218,0.166666667,0.164330218,0.333333333,0.328660436,0.222222222,0.219626168,0.666666667,0.664330218,0,0,0,0
31,9,Male,0.333333333,0.332554517,0.166666667,0.164330218,0.333333333,0.328660436,0.277777778,0.276479751,0.666666667,0.664330218,0.166666667,0.167445483,0,0
32,9,Female,0,0,0,0,0.166666667,0.164330218,0.055555556,0.05529595,0.166666667,0.164330218,0,0,0,0
35,9,Female,0.166666667,0.167445483,0.166666667,0.164330218,0.166666667,0.168224299,0.166666667,0.163551402,0.166666667,0.168224299,0.166666667,0.164330218,0.166666667,0.167445483
36,9,Male,0,0,0,0,0.166666667,0.168224299,0.055555556,0.052959502,0,0,0.166666667,0.164330218,0,0
37,9,Male,0,0,0.166666667,0.164330218,0,0,0.055555556,0.054517134,0.166666667,0.168224299,0,0,0,0
38,9,Male,0.166666667,0.164330218,0.333333333,0.328660436,0.5,0.496884735,0.333333333,0.327102804,0.833333333,0.832554517,0.166666667,0.164330218,0,0
39,9,Female,0.285714286,0.224299065,0.2,0.336448598,0.333333333,0.332554517,0.277777778,0.300882658,0.166666667,0.164330218,0.666666667,0.72403946,0,0
40,9,Female,0,0,0.166666667,0.164330218,0.5,0.496884735,0.222222222,0.218068536,0.5,0.496884735,0.166666667,0.164330218,0,0
41,9,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,9,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,9,Female,0.333333333,0.332554517,0,0,0.5,0.5,0.277777778,0.275700935,0.333333333,0.331775701,0.285714286,0.331775701,0.2,0.164330218
1,10,Female,0.333333333,0.332147937,0.5,0.498577525,0.5,0.497866287,0.444444444,0.441678521,0.666666667,0.664295875,0.666666667,0.667852063,0,0
2,10,Male,0,0,0.166666667,0.16571835,0.5,0.498577525,0.222222222,0.221194879,0.333333333,0.335704125,0.333333333,0.332147937,0,0
3,10,Male,0,0,0.166666667,0.166429587,0.333333333,0.332859175,0.166666667,0.165007112,0.5,0.5,0,0,0,0
4,10,Female,0.5,0.500711238,0.666666667,0.664295875,0.666666667,0.664295875,0.611111111,0.608819346,1,1,0.666666667,0.664295875,0.166666667,0.167852063
5,10,Female,0.166666667,0.166429587,0,0,0.333333333,0.332147937,0.157894737,0.167852063,0.333333333,0.335704125,0.166666667,0.167852063,0,0
6,10,Male,0.428571429,0.332859175,0.25,0.332859175,0.142857143,0.166429587,0.277777778,0.277382646,0.833333333,0.832147937,0,0,0,0
7,10,Male,0.333333333,0.332859175,0.166666667,0.166429587,0.333333333,0.332859175,0.277777778,0.278805121,0.833333333,0.835704125,0,0,0,0
8,10,Male,0.5,0.498577525,0.333333333,0.332859175,0.333333333,0.332147937,0.388888889,0.388335704,0.833333333,0.832147937,0.333333333,0.335704125,0,0
9,10,Male,0,0,0.333333333,0.332859175,0.166666667,0.166429587,0.166666667,0.163584637,0.5,0.496443812,0,0,0,0
10,10,Male,0.333333333,0.332147937,0.666666667,0.666429587,0.166666667,0.166429587,0.388888889,0.386201991,0.666666667,0.664295875,0.333333333,0.332147937,0.166666667,0.164295875
12,10,Male,0.5,0.498577525,0.5,0.498577525,0.333333333,0.332147937,0.444444444,0.443100996,0.833333333,0.832147937,0.5,0.5,0,0
15,10,Female,0.166666667,0.166429587,0.5,0.498577525,0.333333333,0.332859175,0.333333333,0.330725462,0.833333333,0.832147937,0.166666667,0.164295875,0,0
16,10,Male,0.333333333,0.332147937,0.166666667,0.16571835,0.166666667,0.166429587,0.222222222,0.222617354,0.333333333,0.335704125,0.333333333,0.332147937,0,0
17,10,Female,0,0,0.333333333,0.332859175,0.333333333,0.332859175,0.222222222,0.219061166,0.666666667,0.664295875,0,0,0,0
19,10,Female,0.166666667,0.166429587,0.5,0.498577525,0.166666667,0.166429587,0.277777778,0.275248933,0.666666667,0.664295875,0.166666667,0.164295875,0,0
20,10,Female,0.333333333,0.332859175,0.5,0.498577525,0.666666667,0.666429587,0.5,0.5,1,1,0.333333333,0.332147937,0.166666667,0.167852063
22,10,Female,0.333333333,0.332859175,0.333333333,0.332859175,0.166666667,0.166429587,0.277777778,0.277382646,0.833333333,0.832147937,0,0,0,0
23,10,Female,0.166666667,0.166429587,0.166666667,0.166429587,0.333333333,0.33428165,0.222222222,0.223328592,0.5,0.5,0,0,0.166666667,0.167852063
